Twitter Profile,Name,Description,Website,Price ETH,Twitter User Created,Twitter User Description,Twitter User Favourites Count,Twitter User Followers Count,Twitter User Friends Count,Twitter User Listed Count,Twitter User Statuses Count,Twitter User Media Count,Twitter User Location,Twitter User Profile Banner Url,Twitter User Profile Image Url
Salamanders_NFT,Slim Salamander Squad,Salamander avatar NFTs with comic utility,www.slimsalamandersquad.com,0.06,2021-08-21 13:58:10+00:00,"•10,000 cute, but not 2 cute, Slim Salamanders
• PvP P2E game
•ETH's first community choose your own adventure comic
• Discord: discord.gg/9mbnZNFaHm",297.0,11093.0,122.0,4.0,224.0,140.0,0.06  Ξ | 09/11 - 13/11,https://pbs.twimg.com/profile_banners/1429080343634759695/1633681224,https://pbs.twimg.com/profile_images/1447307635720601603/FRCq7nV8_normal.jpg
cryptoon_goonz,Cryptoon Goonz,Goon themed NFTs,www.cryptoongoonz.com,0.07,2019-12-31 12:36:17+00:00,Quality NFTs for quality people. Just dope artwork you can buy and trade. Or not. Whatever it's your life,241.0,1681.0,992.0,1.0,132.0,86.0,Planet Of Cryptoon,https://pbs.twimg.com/profile_banners/1211989406959034369/1635688729,https://pbs.twimg.com/profile_images/1456232214551834625/fUPqKBlp_normal.jpg
Aqomiart,YELLOW SERIES - The Animal Kingdom Collection by AQOMI,Animal Kingdom themed NFTs,aqomi.com,0.015,2021-05-27 18:45:40+00:00,YELLOW SERIES - NOV. 10 @ 3:33pm EST | aqomi.com    discord.gg/4kWBse3sMH  #TAKC #nftartist #nftcollector,8389.0,3117.0,1929.0,10.0,4684.0,331.0,The Kingdom,https://pbs.twimg.com/profile_banners/1397987318875701248/1629327422,https://pbs.twimg.com/profile_images/1458543898037563402/cjTgd997_normal.jpg
pugs_crypto,CryptoPugs,Generative CryptoPug NFT Collection,cryptopugs.io,0.065,2021-09-02 01:29:19+00:00,"3,500 CryptoPugs will be released soon - Website: Cryptopugs.io Stay tuned for Pre Launch announcement!",11.0,9463.0,201.0,3.0,44.0,28.0,Pugan Earth ERC-721 🌏,https://pbs.twimg.com/profile_banners/1433240527369998336/1635073288,https://pbs.twimg.com/profile_images/1447077002901536768/0ZNKv5E5_normal.jpg
CypherHumans,CypherHumans,3D cypher themed NFTs with game tie-in,cypherhumans.xyz,0.088,2021-09-17 15:28:42+00:00,"8,888 CypherHumans playable in the CypherVerse cypherhumans.xyz | 3D Play-To-Earn Game👽 | Discord 👇👇 | PUBLIC MINT NOVEMBER 12📅",490.0,7497.0,379.0,16.0,288.0,62.0,,https://pbs.twimg.com/profile_banners/1438887532087947269/1634804090,https://pbs.twimg.com/profile_images/1453960730986762242/hY06ehg9_normal.jpg
NonChimpz,Non-Chimpz World,3D non-chimpz themed avatar NFTs,nonchimpz.com,0.0555,2021-09-30 21:01:42+00:00,"Join us as one of the 17 777 chimps that transcend their deplorable origins, and prove your excellence in an all-new fantasy game. discord.gg/sawNeB4vBK",188.0,14044.0,131.0,6.0,60.0,26.0,,https://pbs.twimg.com/profile_banners/1443682277326741504/1633891138,https://pbs.twimg.com/profile_images/1447449840871424000/W0Ndg24H_normal.jpg
Voodollz_,Voodollz,A unique doll themed community driven NFT collection,voodollz.club,0.07,2021-10-10 22:02:56+00:00,The first ever community run NFT project. Bringing infinite utility and high level 3D art together. discord.gg/5w8zEXgC8t 🪡🤍,28.0,6908.0,9.0,1.0,46.0,14.0,,https://pbs.twimg.com/profile_banners/1447321731178303491/1634137113,https://pbs.twimg.com/profile_images/1448302137973387266/GFqXIZ73_normal.jpg
DorkyDucks,Dorky Ducks,Artistic Duck themed NFTs,dorkyducks.com,0.055,2021-09-19 00:25:49+00:00,"DorkyDucks is 3,333 randomly generated and unique pieces of art living on the Ethereum blockchain. #nft #nftcollector",163.0,863.0,981.0,1.0,104.0,14.0,Metaverse,https://pbs.twimg.com/profile_banners/1439385159686496257/1633977120,https://pbs.twimg.com/profile_images/1446629043428679681/omn4ioA1_normal.jpg
KITTI_NFTs,Ninja KITTI,Ninja themed NFTs with plans for gamification and P2E,ninjakitti.com,0.05,2021-09-20 10:45:24+00:00,"The Ninja KITTI NFT game is set in a post WW3 dystopian world, These genetically gifted warriors fight to survive against the corps. that enslaved humanity",31.0,2201.0,189.0,0.0,1358.0,67.0,2089,https://pbs.twimg.com/profile_banners/1439903461336883200/1632140793,https://pbs.twimg.com/profile_images/1446244062428868611/ayrLx957_normal.jpg
ChibiLabs,Chibi Galaxy,3D interstellar themed chibi character NFTs,chibilabs.io,0.06,2018-08-24 11:25:50+00:00,Home to futuristic 3D characters | Chibi Galaxy drops 11/11 | Register for public sale raffle: register.chibilabs.io | Join us: discord.gg/ChibiLabs,2504.0,20681.0,687.0,48.0,1696.0,352.0,Chibi Nation,https://pbs.twimg.com/profile_banners/1032952115134717952/1635817023,https://pbs.twimg.com/profile_images/1455215543053688842/Jd_paTP4_normal.jpg
AmIAPandaNFT,PANDA?,Panda avatar NFTs,amiapanda.com,0.08,2021-09-09 16:14:32+00:00,"PANDA? - HODL and Make Money. Simple. 

Batch 1: 1,000 NFTs
Price: 0.06 ETH
Presale: 10/11/2021
Public sale: 11/11/2021

Discord: discord.gg/dCmMQ9VUnr",55.0,1140.0,7.0,0.0,125.0,18.0,Ethereum Blockchain ,https://pbs.twimg.com/profile_banners/1436000038019387395/1633606336,https://pbs.twimg.com/profile_images/1446073757043396610/25Bn_Rqc_normal.jpg
2088humans,2088:HUMANS,Humans with mutated abilities NTFs,humans2088.com,0.055,2021-09-07 06:50:01+00:00,"8,888 HMNS from a war torn society 🔥 #NFT on ethereum with over 500 traits. Minting now! 🚀 Link below",4592.0,1226.0,265.0,3.0,1123.0,260.0,,https://pbs.twimg.com/profile_banners/1435133190197288961/1631500430,https://pbs.twimg.com/profile_images/1458117932349681664/wu0gpBL9_normal.jpg
ww.tyronelayne.com/humandatabase.html,Tyrone Layne's Human Database,Oil paint themed human avatar NFTs,0.02 - 0.035 ETH,0.0,,,,,,,,,,,
AbucryptoNFT,Abu Crypto,Traditional Arab family NFTs,www.abucrypto.io,0.0,2021-09-17 10:59:53+00:00,Unique and exciting collection of 4400 authentic 8 bit digital artwork representing 8 members of a traditional Arab family. Launch 🚀 Sat 13th Nov 🌙,596.0,4363.0,399.0,1.0,223.0,63.0,United Arab Emirates,https://pbs.twimg.com/profile_banners/1438819931286609920/1633004350,https://pbs.twimg.com/profile_images/1449695302898827269/rnKhzAHR_normal.jpg
peopleeum,Peopleeum,Avatars with Ethereum elements,peopleeum.com,0.1,2021-07-06 18:07:25+00:00,"The Gods Of Ethereum, Peopleeum

First Whitelist sale  10 Nov 3PM UTC

Discord: discord.gg/5pFxUFXBwh",2237.0,1658.0,260.0,4.0,180.0,38.0,,https://pbs.twimg.com/profile_banners/1412473199888117765/1631088897,https://pbs.twimg.com/profile_images/1443907925756555272/UJSrRk1O_normal.jpg
EliteForcesNFT,Elite Forces,Soldier themed NFTs providing access to an Warzone game tournament,eliteforcesnft.com,0.05,2021-09-03 21:56:41+00:00,"10,000 unique soldiers ready for battle 
Discord: discord.gg/eliteforces
Opensea: (coming soon!)",128.0,7144.0,171.0,0.0,66.0,14.0,nuketown,https://pbs.twimg.com/profile_banners/1433911792938491904/1635882996,https://pbs.twimg.com/profile_images/1458196673255985156/Nic5wmhH_normal.jpg
MiniMechaNFT,MiniMecha,Anime mech themed NFTs on Solana,www.minimecha.io,0.0,2021-09-30 17:42:04+00:00,"🔥 10,000 unique anime Mechs living on #Solana 🔥
📅 Mint: 11th Nov 17:00 UTC
👾 discord.gg/MiniMechaNFT
Medium: medium.com/@MiniMechaNFT
Website: minimecha.io",174.0,5870.0,12.0,3.0,157.0,79.0,Solana Mechaverse,https://pbs.twimg.com/profile_banners/1443632054709600256/1635516459,https://pbs.twimg.com/profile_images/1445399445303083015/LHt6uYiy_normal.jpg
BloodMoonNFT,Blood Moon,Werewolf themed avatar NFTs,www.bloodmoon.club,0.07,2021-10-12 12:30:26+00:00,"10,310 Ominous NFTs. 11/11 pre sale. 11/13 public sale. discord.gg/BloodMoonNFT",477.0,10365.0,1494.0,3.0,833.0,770.0,,https://pbs.twimg.com/profile_banners/1447902107026219014/1635426305,https://pbs.twimg.com/profile_images/1453712620138033158/BhSJfxYB_normal.jpg
UltraRareUK,Leatherfaces,Leatherface themed avatar NFTs,leatherfaces.io,0.0666,2020-10-11 12:24:31+00:00,The first officially licensed #PFP #NFTs to hit eth @ChainsawTX // Join: discord.gg/ultrarare,11520.0,31225.0,228.0,69.0,1844.0,503.0,The Metaverse,https://pbs.twimg.com/profile_banners/1315266915242307584/1636477873,https://pbs.twimg.com/profile_images/1453660630095994887/Oc78L_WP_normal.jpg
mutantpunks,MUTANT PUNK CITY,Mutant Punk themed NFTs,mutantpunkscity.com,0.08,2021-08-15 01:21:16+00:00,"The First #NFT collection of 11111 unique MUTANT PUNKS!
MINT DATE: 11.11.2021  16:00 UTC   106 000 in DC
discord.gg/U4jsG4fArD #mutantpunks #MutantPunksCity",90.0,25828.0,7.0,6.0,53.0,25.0,Mutant City,https://pbs.twimg.com/profile_banners/1426715576991469571/1633190711,https://pbs.twimg.com/profile_images/1442925235779489793/fo8GcIC9_normal.jpg
SplattersBR,Splatters,Pixel brawler themed avatar NFTs,splatterbattleroyale.com,0.03,2021-08-23 17:20:07+00:00,"Splatters NFT's 

Your 🎟 to an intense 2D Pixel Party Brawler.


discord.gg/splattersbr
splatterbattleroyale.com
opensea.io/collection/spl…",925.0,1198.0,87.0,3.0,441.0,181.0,IN BATTLE,https://pbs.twimg.com/profile_banners/1429855871119540226/1631131091,https://pbs.twimg.com/profile_images/1435694177799614476/JYY6Ictb_normal.png
