Twitter Profile,Datetime,Tweet Id,Text,Username,User Created,User Description,User Favourites Count,User Followers Count,User Friends Count,User Listed Count,User Statuses Count,User Media Count,User Location,User Profile Banner Url,User Profile Image Url
pugs_crypto,2021-11-09 22:42:57+00:00,1458203485934002176,"@MafiaGangClub @nftpug
@NFTxa111 
@FkBtchsGetCrpto",rayner_richie,2021-04-21 22:40:08+00:00,"Only Nft's, Crypto & Pugs to See Here

#Torg  #TORGARMY",13909,699,3743,8,13712,263,,https://pbs.twimg.com/profile_banners/1385000246489489411/1633216001,https://pbs.twimg.com/profile_images/1444437828872466437/WubDHRBb_normal.jpg
pugs_crypto,2021-11-09 22:34:05+00:00,1458201253016584195,"@DjPrestigeUk Get into @SUPERDOGEio before the Animated series and first set of NFTs drop November 25!!!
#Superdoge #NFTCollections https://t.co/BdAfRiHJ6D",Cryptopug555,2021-11-02 19:24:08+00:00,"Not just a Pug, It’s a Crypto Pug!!!  🐶 #Doge #Husky #Superdoge #Redpanda",250,16,109,3,106,48,,,https://pbs.twimg.com/profile_images/1455617350313467906/FWmDkOVF_normal.jpg
pugs_crypto,2021-11-09 22:08:06+00:00,1458194715761860611,Thank you @binance for once again not allowing $BNB to be withdrawn… 👏🏽 👏🏽,TheCryptoPuggy,2011-04-06 15:55:23+00:00,👾Crypto Investor | 💎 Gem Finder | 🐶 Pug Lover | 🤝 CT Community | ❤️Support | 🤡 Daily Humor | 💰Magic Bean Bags 👉🏽 $GLCH $SKEY $KIBA,943,220,245,2,1432,283,Blockchain,https://pbs.twimg.com/profile_banners/278091628/1634938037,https://pbs.twimg.com/profile_images/1453752805261516801/xtmxYDS7_normal.jpg
pugs_crypto,2021-11-09 21:57:33+00:00,1458192057340682241,@The_ClayMates @SnoopDogg A new idea for your cookbook @SnoopDogg @The_ClayMates https://t.co/TTDfcVXSuQ,Crypto__Pug,2015-06-08 10:49:00+00:00,TKzh8qFpQoyCf3YsUbNZYfcrgDTDaK93Lg,2771,192,596,4,2040,197,some where on earth,https://pbs.twimg.com/profile_banners/3313079044/1615481930,https://pbs.twimg.com/profile_images/1457632775205498880/V_jMEJtM_normal.jpg
pugs_crypto,2021-11-09 21:42:17+00:00,1458188215882436608,@CryptoWendyO Live your best life !!! 🌟,Cryptopug555,2021-11-02 19:24:08+00:00,"Not just a Pug, It’s a Crypto Pug!!!  🐶 #Doge #Husky #Superdoge #Redpanda",250,16,109,3,106,48,,,https://pbs.twimg.com/profile_images/1455617350313467906/FWmDkOVF_normal.jpg
pugs_crypto,2021-11-09 21:38:21+00:00,1458187225888215040,@BSC_gems_ This is 100% a BSC Gem!!! Excited for the next few weeks with the true launch of Superdoge! https://t.co/PZVixYCpAU,Cryptopug555,2021-11-02 19:24:08+00:00,"Not just a Pug, It’s a Crypto Pug!!!  🐶 #Doge #Husky #Superdoge #Redpanda",250,16,109,3,106,48,,,https://pbs.twimg.com/profile_images/1455617350313467906/FWmDkOVF_normal.jpg
pugs_crypto,2021-11-09 21:07:47+00:00,1458179534453420036,"@hamitakar @kerimcalender Önce Kerim Beyle konuşmam lazım, seninle zaten istediğinde yazışırız 😂",CryptoPugMax,2021-02-19 13:55:43+00:00,See you in Maldives one day🍹🚤🏝️,329,35,274,0,442,10,,,https://pbs.twimg.com/profile_images/1367161572557209606/zBs86mBQ_normal.jpg
pugs_crypto,2021-11-09 20:53:09+00:00,1458175854547247108,@zk_letsgetit Do you have a private group? Really working my butt off to set my family up with generational wealth.,TheCryptoPuggy,2011-04-06 15:55:23+00:00,👾Crypto Investor | 💎 Gem Finder | 🐶 Pug Lover | 🤝 CT Community | ❤️Support | 🤡 Daily Humor | 💰Magic Bean Bags 👉🏽 $GLCH $SKEY $KIBA,943,220,245,2,1432,283,Blockchain,https://pbs.twimg.com/profile_banners/278091628/1634938037,https://pbs.twimg.com/profile_images/1453752805261516801/xtmxYDS7_normal.jpg
pugs_crypto,2021-11-09 20:50:25+00:00,1458175164378664969,WELCOME TO THE #KIBAKREW $KIBA https://t.co/3xcDdKYxrk,TheCryptoPuggy,2011-04-06 15:55:23+00:00,👾Crypto Investor | 💎 Gem Finder | 🐶 Pug Lover | 🤝 CT Community | ❤️Support | 🤡 Daily Humor | 💰Magic Bean Bags 👉🏽 $GLCH $SKEY $KIBA,943,220,245,2,1432,283,Blockchain,https://pbs.twimg.com/profile_banners/278091628/1634938037,https://pbs.twimg.com/profile_images/1453752805261516801/xtmxYDS7_normal.jpg
pugs_crypto,2021-11-09 20:46:10+00:00,1458174096810860547,Representing the most under-appreciated dog breed in crypto... the pugs have arrived $PUG https://t.co/pmBIsxi2Z3,PUGcoin_Sol,2021-10-10 01:33:55+00:00,"Giving love to the most under appreciated dog breed in crypto. 
$PUG Whitelist coming soon + Pesky Penguin Giveaway!",0,4,55,0,40,1,,https://pbs.twimg.com/profile_banners/1447012436960219137/1636490472,https://pbs.twimg.com/profile_images/1458171372983705604/rsst_o4B_normal.jpg
pugs_crypto,2021-11-09 20:23:34+00:00,1458168409192112130,@Crypto__Pug @ADAArtAudit https://t.co/z1uLIWcsvp https://t.co/NwAecI2JNy,logic_order,2021-09-20 18:25:09+00:00,Each work comes from a number of sketches which finally turn into a play between order and chaos. recently moved from eth to Cardano,67,207,374,0,167,69,United Kingdom,https://pbs.twimg.com/profile_banners/1440019093747380227/1632162583,https://pbs.twimg.com/profile_images/1447965281058447366/rsyD0zS1_normal.jpg
Elite9090NFT,2021-11-09 23:51:20+00:00,1458220693817106436,@Elite9090NFT @113kw @DrewBleam @jonimons @IrishGirlJillE,CorinaObertas,2010-09-24 14:43:15+00:00,PHOTOGRAPHER | DIGITAL ARTIST | NFT CREATOR 🐈 LOVER  °°Never stop chasing your dreams°° INSTAGRAM: corinadanielaobertas,20557,3797,2997,174,42865,1702,"Rome, Italy",https://pbs.twimg.com/profile_banners/194597110/1619100814,https://pbs.twimg.com/profile_images/1458188366621683715/24BocZB7_normal.jpg
Elite9090NFT,2021-11-09 21:00:50+00:00,1458177784094855189,@SolMintDaily @TheNFTChief @ReaperHillsNFT @Cryptoon_Goonz @Aqomiart @dokidivision @Elite9090NFT @NonChimpz @Voodollz_ @KITTI_NFTs @dirtydogsnft @The_Cryptomobs thanks mate :),pablo_h27,2019-08-02 10:55:38+00:00,In search of nft's #SOLANA #NFTs,1363,94,1594,0,3108,50,,https://pbs.twimg.com/profile_banners/1157243553099255808/1631866573,https://pbs.twimg.com/profile_images/1449300362956087296/un5-36K2_normal.jpg
